TAHUN;SEMESTER;MATAKULIAH;PERTANYAAN;KETERANGAN;NILAI
2015;1521;IS660 Information Systems Research Methodologies;1;Kesiapan memberikan perkuliahan/praktikum;3,25
2015;1521;IS660 Information Systems Research Methodologies;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,25
2015;1521;IS660 Information Systems Research Methodologies;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,22
2015;1521;IS660 Information Systems Research Methodologies;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,20
2015;1521;IS660 Information Systems Research Methodologies;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,27
2015;1521;IS660 Information Systems Research Methodologies;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,18
2015;1521;IS660 Information Systems Research Methodologies;7;Memberi review materi  perkuliahan sebelumnya;3,17
2015;1521;IS660 Information Systems Research Methodologies;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,29
2015;1521;IS660 Information Systems Research Methodologies;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,22
2015;1521;IS660 Information Systems Research Methodologies;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,27
2015;1521;IS660 Information Systems Research Methodologies;11;Kemampuan memotivasi semangat belajar mahasiswa;3,17
2015;1521;IS660 Information Systems Research Methodologies;12;Kemampuan menerima kritik, saran dan pendapat;3,31
2015;1521;IS660 Information Systems Research Methodologies;13;Fairness dalam memberikan penilaian;3,23
2015;1521;IS660 Information Systems Research Methodologies;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,35
2015;1521;IS672 IT Governance 2;1;Kesiapan memberikan perkuliahan/praktikum;3,29
2015;1521;IS672 IT Governance 2;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,29
2015;1521;IS672 IT Governance 2;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,21
2015;1521;IS672 IT Governance 2;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,24
2015;1521;IS672 IT Governance 2;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,24
2015;1521;IS672 IT Governance 2;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,18
2015;1521;IS672 IT Governance 2;7;Memberi review materi  perkuliahan sebelumnya;3,24
2015;1521;IS672 IT Governance 2;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,24
2015;1521;IS672 IT Governance 2;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,21
2015;1521;IS672 IT Governance 2;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,21
2015;1521;IS672 IT Governance 2;11;Kemampuan memotivasi semangat belajar mahasiswa;3,24
2015;1521;IS672 IT Governance 2;12;Kemampuan menerima kritik, saran dan pendapat;3,21
2015;1521;IS672 IT Governance 2;13;Fairness dalam memberikan penilaian;3,24
2015;1521;IS672 IT Governance 2;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,24
2015;1521;IS681 Enterprise Application and Systems 2;1;Kesiapan memberikan perkuliahan/praktikum;3,38
2015;1521;IS681 Enterprise Application and Systems 2;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,34
2015;1521;IS681 Enterprise Application and Systems 2;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,40
2015;1521;IS681 Enterprise Application and Systems 2;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,37
2015;1521;IS681 Enterprise Application and Systems 2;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,43
2015;1521;IS681 Enterprise Application and Systems 2;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,36
2015;1521;IS681 Enterprise Application and Systems 2;7;Memberi review materi  perkuliahan sebelumnya;3,40
2015;1521;IS681 Enterprise Application and Systems 2;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,40
2015;1521;IS681 Enterprise Application and Systems 2;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,39
2015;1521;IS681 Enterprise Application and Systems 2;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,37
2015;1521;IS681 Enterprise Application and Systems 2;11;Kemampuan memotivasi semangat belajar mahasiswa;3,33
2015;1521;IS681 Enterprise Application and Systems 2;12;Kemampuan menerima kritik, saran dan pendapat;3,41
2015;1521;IS681 Enterprise Application and Systems 2;13;Fairness dalam memberikan penilaian;3,40
2015;1521;IS681 Enterprise Application and Systems 2;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,39
2016;1611;IS100 Management Information Systems;1;Kesiapan memberikan perkuliahan/praktikum;3,54
2016;1611;IS100 Management Information Systems;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,59
2016;1611;IS100 Management Information Systems;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,56
2016;1611;IS100 Management Information Systems;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,57
2016;1611;IS100 Management Information Systems;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,54
2016;1611;IS100 Management Information Systems;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,48
2016;1611;IS100 Management Information Systems;7;Memberi review materi  perkuliahan sebelumnya;3,53
2016;1611;IS100 Management Information Systems;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,54
2016;1611;IS100 Management Information Systems;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,51
2016;1611;IS100 Management Information Systems;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,51
2016;1611;IS100 Management Information Systems;11;Kemampuan memotivasi semangat belajar mahasiswa;3,53
2016;1611;IS100 Management Information Systems;12;Kemampuan menerima kritik, saran dan pendapat;3,50
2016;1611;IS100 Management Information Systems;13;Fairness dalam memberikan penilaian;3,55
2016;1611;IS100 Management Information Systems;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,53
2016;1611;IS110 Business Mathematics;1;Kesiapan memberikan perkuliahan/praktikum;3,14
2016;1611;IS110 Business Mathematics;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,00
2016;1611;IS110 Business Mathematics;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,14
2016;1611;IS110 Business Mathematics;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,14
2016;1611;IS110 Business Mathematics;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,21
2016;1611;IS110 Business Mathematics;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,00
2016;1611;IS110 Business Mathematics;7;Memberi review materi  perkuliahan sebelumnya;3,21
2016;1611;IS110 Business Mathematics;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,21
2016;1611;IS110 Business Mathematics;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,07
2016;1611;IS110 Business Mathematics;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,14
2016;1611;IS110 Business Mathematics;11;Kemampuan memotivasi semangat belajar mahasiswa;3,07
2016;1611;IS110 Business Mathematics;12;Kemampuan menerima kritik, saran dan pendapat;3,21
2016;1611;IS110 Business Mathematics;13;Fairness dalam memberikan penilaian;3,21
2016;1611;IS110 Business Mathematics;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,36
2016;1611;IS201 Corporate Business Processes;1;Kesiapan memberikan perkuliahan/praktikum;3,38
2016;1611;IS201 Corporate Business Processes;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,38
2016;1611;IS201 Corporate Business Processes;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,36
2016;1611;IS201 Corporate Business Processes;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,38
2016;1611;IS201 Corporate Business Processes;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,35
2016;1611;IS201 Corporate Business Processes;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,32
2016;1611;IS201 Corporate Business Processes;7;Memberi review materi  perkuliahan sebelumnya;3,33
2016;1611;IS201 Corporate Business Processes;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,32
2016;1611;IS201 Corporate Business Processes;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,30
2016;1611;IS201 Corporate Business Processes;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,44
2016;1611;IS201 Corporate Business Processes;11;Kemampuan memotivasi semangat belajar mahasiswa;3,30
2016;1611;IS201 Corporate Business Processes;12;Kemampuan menerima kritik, saran dan pendapat;3,35
2016;1611;IS201 Corporate Business Processes;13;Fairness dalam memberikan penilaian;3,44
2016;1611;IS201 Corporate Business Processes;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,36
2016;1611;IS240 Probability and Statistic;1;Kesiapan memberikan perkuliahan/praktikum;3,67
2016;1611;IS240 Probability and Statistic;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,67
2016;1611;IS240 Probability and Statistic;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,67
2016;1611;IS240 Probability and Statistic;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,67
2016;1611;IS240 Probability and Statistic;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,58
2016;1611;IS240 Probability and Statistic;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,67
2016;1611;IS240 Probability and Statistic;7;Memberi review materi  perkuliahan sebelumnya;3,67
2016;1611;IS240 Probability and Statistic;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,67
2016;1611;IS240 Probability and Statistic;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,67
2016;1611;IS240 Probability and Statistic;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,67
2016;1611;IS240 Probability and Statistic;11;Kemampuan memotivasi semangat belajar mahasiswa;3,67
2016;1611;IS240 Probability and Statistic;12;Kemampuan menerima kritik, saran dan pendapat;3,67
2016;1611;IS240 Probability and Statistic;13;Fairness dalam memberikan penilaian;3,67
2016;1611;IS240 Probability and Statistic;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,67
2016;1611;IS302 Operating Systems Concept;1;Kesiapan memberikan perkuliahan/praktikum;2,51
2016;1611;IS302 Operating Systems Concept;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;2,45
2016;1611;IS302 Operating Systems Concept;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;2,49
2016;1611;IS302 Operating Systems Concept;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;2,51
2016;1611;IS302 Operating Systems Concept;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;2,53
2016;1611;IS302 Operating Systems Concept;6;Pemakaian buku teks sebagai buku utama perkuliahan;2,47
2016;1611;IS302 Operating Systems Concept;7;Memberi review materi  perkuliahan sebelumnya;2,43
2016;1611;IS302 Operating Systems Concept;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);2,59
2016;1611;IS302 Operating Systems Concept;9;Kejelasan menjawab pertanyaan /diskusi di kelas;2,49
2016;1611;IS302 Operating Systems Concept;10;Pemberian tugas/kuis serta pembahasannya di kelas;2,53
2016;1611;IS302 Operating Systems Concept;11;Kemampuan memotivasi semangat belajar mahasiswa;2,39
2016;1611;IS302 Operating Systems Concept;12;Kemampuan menerima kritik, saran dan pendapat;2,53
2016;1611;IS302 Operating Systems Concept;13;Fairness dalam memberikan penilaian;2,47
2016;1611;IS302 Operating Systems Concept;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;2,69
2016;1611;IS321 Information Systems Analysis and Design;1;Kesiapan memberikan perkuliahan/praktikum;3,29
2016;1611;IS321 Information Systems Analysis and Design;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,23
2016;1611;IS321 Information Systems Analysis and Design;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,32
2016;1611;IS321 Information Systems Analysis and Design;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,39
2016;1611;IS321 Information Systems Analysis and Design;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,32
2016;1611;IS321 Information Systems Analysis and Design;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,35
2016;1611;IS321 Information Systems Analysis and Design;7;Memberi review materi  perkuliahan sebelumnya;3,26
2016;1611;IS321 Information Systems Analysis and Design;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,29
2016;1611;IS321 Information Systems Analysis and Design;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,29
2016;1611;IS321 Information Systems Analysis and Design;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,29
2016;1611;IS321 Information Systems Analysis and Design;11;Kemampuan memotivasi semangat belajar mahasiswa;3,29
2016;1611;IS321 Information Systems Analysis and Design;12;Kemampuan menerima kritik, saran dan pendapat;3,29
2016;1611;IS321 Information Systems Analysis and Design;13;Fairness dalam memberikan penilaian;3,29
2016;1611;IS321 Information Systems Analysis and Design;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,26
2016;1611;IS341 Database Systems;1;Kesiapan memberikan perkuliahan/praktikum;3,29
2016;1611;IS341 Database Systems;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,35
2016;1611;IS341 Database Systems;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,29
2016;1611;IS341 Database Systems;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,35
2016;1611;IS341 Database Systems;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,31
2016;1611;IS341 Database Systems;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,19
2016;1611;IS341 Database Systems;7;Memberi review materi  perkuliahan sebelumnya;3,27
2016;1611;IS341 Database Systems;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,37
2016;1611;IS341 Database Systems;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,35
2016;1611;IS341 Database Systems;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,27
2016;1611;IS341 Database Systems;11;Kemampuan memotivasi semangat belajar mahasiswa;3,25
2016;1611;IS341 Database Systems;12;Kemampuan menerima kritik, saran dan pendapat;3,33
2016;1611;IS341 Database Systems;13;Fairness dalam memberikan penilaian;3,33
2016;1611;IS341 Database Systems;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,37
2016;1611;IS512 IS Project Management;1;Kesiapan memberikan perkuliahan/praktikum;3,08
2016;1611;IS512 IS Project Management;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,13
2016;1611;IS512 IS Project Management;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,13
2016;1611;IS512 IS Project Management;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,18
2016;1611;IS512 IS Project Management;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,18
2016;1611;IS512 IS Project Management;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,16
2016;1611;IS512 IS Project Management;7;Memberi review materi  perkuliahan sebelumnya;3,13
2016;1611;IS512 IS Project Management;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,13
2016;1611;IS512 IS Project Management;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,16
2016;1611;IS512 IS Project Management;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,16
2016;1611;IS512 IS Project Management;11;Kemampuan memotivasi semangat belajar mahasiswa;3,16
2016;1611;IS512 IS Project Management;12;Kemampuan menerima kritik, saran dan pendapat;3,08
2016;1611;IS512 IS Project Management;13;Fairness dalam memberikan penilaian;3,03
2016;1611;IS512 IS Project Management;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,11
2016;1611;IS513 E-Business;1;Kesiapan memberikan perkuliahan/praktikum;3,38
2016;1611;IS513 E-Business;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,37
2016;1611;IS513 E-Business;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,35
2016;1611;IS513 E-Business;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,35
2016;1611;IS513 E-Business;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,37
2016;1611;IS513 E-Business;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,37
2016;1611;IS513 E-Business;7;Memberi review materi  perkuliahan sebelumnya;3,35
2016;1611;IS513 E-Business;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,35
2016;1611;IS513 E-Business;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,35
2016;1611;IS513 E-Business;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,34
2016;1611;IS513 E-Business;11;Kemampuan memotivasi semangat belajar mahasiswa;3,37
2016;1611;IS513 E-Business;12;Kemampuan menerima kritik, saran dan pendapat;3,40
2016;1611;IS513 E-Business;13;Fairness dalam memberikan penilaian;3,35
2016;1611;IS513 E-Business;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,38
2016;1611;IS534 Mobile Application Development;1;Kesiapan memberikan perkuliahan/praktikum;2,97
2016;1611;IS534 Mobile Application Development;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;2,90
2016;1611;IS534 Mobile Application Development;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;2,92
2016;1611;IS534 Mobile Application Development;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;2,94
2016;1611;IS534 Mobile Application Development;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,00
2016;1611;IS534 Mobile Application Development;6;Pemakaian buku teks sebagai buku utama perkuliahan;2,97
2016;1611;IS534 Mobile Application Development;7;Memberi review materi  perkuliahan sebelumnya;3,01
2016;1611;IS534 Mobile Application Development;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);2,99
2016;1611;IS534 Mobile Application Development;9;Kejelasan menjawab pertanyaan /diskusi di kelas;2,98
2016;1611;IS534 Mobile Application Development;10;Pemberian tugas/kuis serta pembahasannya di kelas;2,99
2016;1611;IS534 Mobile Application Development;11;Kemampuan memotivasi semangat belajar mahasiswa;2,94
2016;1611;IS534 Mobile Application Development;12;Kemampuan menerima kritik, saran dan pendapat;3,00
2016;1611;IS534 Mobile Application Development;13;Fairness dalam memberikan penilaian;2,98
2016;1611;IS534 Mobile Application Development;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;2,99
2016;1611;IS535 iOS Programming 1;1;Kesiapan memberikan perkuliahan/praktikum;3,40
2016;1611;IS535 iOS Programming 1;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,40
2016;1611;IS535 iOS Programming 1;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,35
2016;1611;IS535 iOS Programming 1;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,30
2016;1611;IS535 iOS Programming 1;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,40
2016;1611;IS535 iOS Programming 1;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,35
2016;1611;IS535 iOS Programming 1;7;Memberi review materi  perkuliahan sebelumnya;3,35
2016;1611;IS535 iOS Programming 1;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,35
2016;1611;IS535 iOS Programming 1;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,35
2016;1611;IS535 iOS Programming 1;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,25
2016;1611;IS535 iOS Programming 1;11;Kemampuan memotivasi semangat belajar mahasiswa;3,40
2016;1611;IS535 iOS Programming 1;12;Kemampuan menerima kritik, saran dan pendapat;3,20
2016;1611;IS535 iOS Programming 1;13;Fairness dalam memberikan penilaian;3,35
2016;1611;IS535 iOS Programming 1;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,40
2016;1611;IS543 Decision Support System;1;Kesiapan memberikan perkuliahan/praktikum;3,18
2016;1611;IS543 Decision Support System;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,19
2016;1611;IS543 Decision Support System;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,23
2016;1611;IS543 Decision Support System;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,22
2016;1611;IS543 Decision Support System;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,22
2016;1611;IS543 Decision Support System;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,20
2016;1611;IS543 Decision Support System;7;Memberi review materi  perkuliahan sebelumnya;3,17
2016;1611;IS543 Decision Support System;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,25
2016;1611;IS543 Decision Support System;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,19
2016;1611;IS543 Decision Support System;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,18
2016;1611;IS543 Decision Support System;11;Kemampuan memotivasi semangat belajar mahasiswa;3,18
2016;1611;IS543 Decision Support System;12;Kemampuan menerima kritik, saran dan pendapat;3,20
2016;1611;IS543 Decision Support System;13;Fairness dalam memberikan penilaian;3,23
2016;1611;IS543 Decision Support System;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,19
2016;1611;IS544 Advanced Database;1;Kesiapan memberikan perkuliahan/praktikum;3,30
2016;1611;IS544 Advanced Database;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,23
2016;1611;IS544 Advanced Database;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,20
2016;1611;IS544 Advanced Database;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,17
2016;1611;IS544 Advanced Database;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,27
2016;1611;IS544 Advanced Database;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,20
2016;1611;IS544 Advanced Database;7;Memberi review materi  perkuliahan sebelumnya;3,20
2016;1611;IS544 Advanced Database;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,27
2016;1611;IS544 Advanced Database;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,30
2016;1611;IS544 Advanced Database;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,23
2016;1611;IS544 Advanced Database;11;Kemampuan memotivasi semangat belajar mahasiswa;3,23
2016;1611;IS544 Advanced Database;12;Kemampuan menerima kritik, saran dan pendapat;3,20
2016;1611;IS544 Advanced Database;13;Fairness dalam memberikan penilaian;3,30
2016;1611;IS544 Advanced Database;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,23
2016;1611;IS545 Datawarehouse;1;Kesiapan memberikan perkuliahan/praktikum;3,11
2016;1611;IS545 Datawarehouse;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;2,89
2016;1611;IS545 Datawarehouse;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,00
2016;1611;IS545 Datawarehouse;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;2,94
2016;1611;IS545 Datawarehouse;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,11
2016;1611;IS545 Datawarehouse;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,03
2016;1611;IS545 Datawarehouse;7;Memberi review materi  perkuliahan sebelumnya;3,06
2016;1611;IS545 Datawarehouse;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,03
2016;1611;IS545 Datawarehouse;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,11
2016;1611;IS545 Datawarehouse;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,00
2016;1611;IS545 Datawarehouse;11;Kemampuan memotivasi semangat belajar mahasiswa;2,94
2016;1611;IS545 Datawarehouse;12;Kemampuan menerima kritik, saran dan pendapat;3,11
2016;1611;IS545 Datawarehouse;13;Fairness dalam memberikan penilaian;3,17
2016;1611;IS545 Datawarehouse;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,03
2016;1611;IS571 IT Governance 1;1;Kesiapan memberikan perkuliahan/praktikum;3,36
2016;1611;IS571 IT Governance 1;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,36
2016;1611;IS571 IT Governance 1;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,33
2016;1611;IS571 IT Governance 1;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,36
2016;1611;IS571 IT Governance 1;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,38
2016;1611;IS571 IT Governance 1;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,33
2016;1611;IS571 IT Governance 1;7;Memberi review materi  perkuliahan sebelumnya;3,38
2016;1611;IS571 IT Governance 1;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,40
2016;1611;IS571 IT Governance 1;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,38
2016;1611;IS571 IT Governance 1;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,36
2016;1611;IS571 IT Governance 1;11;Kemampuan memotivasi semangat belajar mahasiswa;3,36
2016;1611;IS571 IT Governance 1;12;Kemampuan menerima kritik, saran dan pendapat;3,36
2016;1611;IS571 IT Governance 1;13;Fairness dalam memberikan penilaian;3,36
2016;1611;IS571 IT Governance 1;14;Ketepatan waktu dalam memulai dan mengakhiri perkuliahan/praktikum;3,40
2016;1611;IS580 Enterprise Application and Systems 1;1;Kesiapan memberikan perkuliahan/praktikum;3,29
2016;1611;IS580 Enterprise Application and Systems 1;2;Upaya  menyampaikan materi perkuliahan/praktikum dengan jelas;3,29
2016;1611;IS580 Enterprise Application and Systems 1;3;Sistematis dalam menyampaikan materi perkuliahan/praktikum;3,33
2016;1611;IS580 Enterprise Application and Systems 1;4;Kemampuan memberikan contoh yang relevan dari materi yang diajarkan;3,27
2016;1611;IS580 Enterprise Application and Systems 1;5;Penyampaian materi perkuliahan sesuai dengan kontrak perkuliahan;3,29
2016;1611;IS580 Enterprise Application and Systems 1;6;Pemakaian buku teks sebagai buku utama perkuliahan;3,06
2016;1611;IS580 Enterprise Application and Systems 1;7;Memberi review materi  perkuliahan sebelumnya;3,17
2016;1611;IS580 Enterprise Application and Systems 1;8;Pemberian kesempatan bertanya, berdiskusi serta berkonsultasi (baik di dalam maupun di luar kelas);3,23
2016;1611;IS580 Enterprise Application and Systems 1;9;Kejelasan menjawab pertanyaan /diskusi di kelas;3,27
2016;1611;IS580 Enterprise Application and Systems 1;10;Pemberian tugas/kuis serta pembahasannya di kelas;3,23
2016;1611;IS580 Enterprise Application and Systems 1;11;Kemampuan memotivasi semangat belajar mahasiswa;3,13
2016;1611;IS580 Enterprise Application and Systems 1;12;Kemampuan menerima kritik, saran dan pendapat;3,25
2016;1611;IS580 Enterprise Application and Systems 1;13;Fairness dalam memberikan penilaian;3,25
